evidence_id,experiment,source_repo,branch,source_commit,implementation,result_artifact,existing_result,current_paper_use,rerun_needed,reason
RA01,Base adversarial A/B/D,robirahman/GPU-monitoring,main,101027906b63067ded909c272e43df19e56c75c1,workloads/adversarial_training.py,classifier/results/adversarial_eval_30s.csv,"30-s window detection: A=0.8947; B=0.9825; D=1.0000; clean training=1.0000",prior evidence only,yes,"Not the frozen SensorGuard split/model and not synchronized with the present electrical setup"
RA02,Fused-update TinyLlama L4 vs three-forward L1,robirahman/GPU-monitoring,main,101027906b63067ded909c272e43df19e56c75c1,workloads/adversarial_symgemm.py,classifier/rebuttal_analysis/symgemm_eval.json,"Paper features: AUC=0.9908; TPR@1%FPR=0.6650; fixed 0.75 3-of-5 alerts=0/6 L4 and 0/4 L1",attack selection and prior evidence,yes,"Must be run as a held-out current-test family with current synchronized retained sensors"
RA03,Ordinary AdamW L5 vs three-forward L1,robirahman/GPU-monitoring,main,101027906b63067ded909c272e43df19e56c75c1,workloads/adversarial_symgemm.py,classifier/rebuttal_analysis/symgemm_eval.json,"Paper features: 4/4 L5 alert; 0/4 L1 alert; median first alert=37.5 s",positive-control prior evidence,yes,"Current paper requires identical split/model/sensors and first 3-of-5 timing"
RA04,Fused-update throughput and energy,robirahman/GPU-monitoring,main,101027906b63067ded909c272e43df19e56c75c1,workloads/adversarial_symgemm.py,classifier/rebuttal_analysis/symgemm_throughput.json,"L4=18,565 train tok/s and 0.02079 J/token; L5=14,825 train tok/s and 0.02471 J/token; one summarized rep",design/provenance,yes,"One rep is insufficient and the current RTX 3090 setup needs its own useful-work and energy measurements"
RA05,PPO-shaped fused update and decode controls,robirahman/GPU-monitoring,main,101027906b63067ded909c272e43df19e56c75c1,workloads/adversarial_symgemm.py,classifier/rebuttal_analysis/symgemm_eval.json,"Three reps each for fused PPO r8/r32 and decode; fixed-rule results vary by sensor feature set",application-coverage prior evidence,optional,"Use only if PPO remains a current-paper claim; otherwise do not expand the critical path"
RA06,Timing and duty-cycle shaping,robirahman/GPU-monitoring,shaping-evasion-study,84160bb55e51ddf8c7e3fedbcdb4100690dc4bae,scripts/run_shaping_sweep.py,docs/shaping_evasion_results.md,"GPT-2 124M shaped training: 0% evasion at every tested cadence; NVML alone sufficient",attack selection and negative result,yes,"Existing runs are H200/llm.c specific; current paper needs a frozen held-out run or must scope the claim to that testbed"
RA07,Memory-minimized training,robirahman/GPU-monitoring,shaping-evasion-study,84160bb55e51ddf8c7e3fedbcdb4100690dc4bae,scripts/run_shaping_sweep.py,docs/shaping_evasion_results.md,"GPT-2 124M microbatch-1 evades deployed classifier but is separable at 100% recall after adding family using NVML alone",coverage-gap motivation,yes,"Do not fit on the final test family; repeat under frozen validation/test protocol"
RA08,Physical-sensor classifier pilot,robirahman/GPU-monitoring,physical-sensor-detection,baf61087ac478811af548fc4827fccb12d0546c2,classifier/physical_sensor_classifier.py,classifier/results/physical_binary_results.csv,"RF grouped-by-run: 30-s accuracy=1.000 on 328 windows from 36 runs and 99 features",pilot only,yes,"Small old testbed and optimistic CV; not an untouched current-paper result"
RA09,Physical ballast-dilution attacks,robirahman/GPU-monitoring,physical-sensor-detection,baf61087ac478811af548fc4827fccb12d0546c2,workloads/adversarial_physical_stealth.py,docs/physical_sensor_detection_and_evasion.md,"Only ballast-dilution reliably evaded initial physical model at roughly 50x slowdown",sensor-aware attack candidate,yes,"Old API/logger and shared-rail wiring differ from the current six-scope setup"
RA10,Hardened physical classifier and cuFFT mimicry,robirahman/GPU-monitoring,physical-sensor-detection,baf61087ac478811af548fc4827fccb12d0546c2,classifier/harden_physical_classifier.py,docs/physical_sensor_detection_and_evasion.md,"Unseen dilution and cuFFT-mimicry runs reported 100% caught after hardening",prior adaptive-round evidence,yes,"Selection and evaluation were iterative; current paper needs a separately held-out final attack"
RA11,Multi-GPU physical-clamp aggregation,robirahman/GPU-monitoring,physical-sensor-detection,baf61087ac478811af548fc4827fccb12d0546c2,classifier/physical_sensor_classifier.py,docs/physical_sensor_detection_and_evasion.md,"Code ready; data collection explicitly pending",implementation only,yes,"Requires verified present-day GPU/channel map and synchronized acquisition"
RA12,Sigil repository audit,robirahman/sigil,main,current,TRAINING.md,,"No SensorGuard GPU telemetry/acquisition/evasion implementation found",none,no,"Unrelated repository"
