evidence_id,source_repository,source_commit,cohort,hardware,modalities,evaluation,runs,positive_runs,negative_runs,key_result,paper_use,rerun_decision,source_artifact,source_url
RHM_NVML_POOLED,robirahman/GPU-monitoring,baf61087ac478811af548fc4827fccb12d0546c2,large NVML corpus,9 NVIDIA GPU models / 4 generations,NVML,30 s StratifiedGroupKFold window classification,1396,,,RF accuracy 98.21%; macro-F1 98.20%,Prior-state-of-art NVML baseline and broad workload coverage,Do not repeat NVML-only corpus,classifier/results/binary_results.csv,https://github.com/robirahman/GPU-monitoring
RHM_NVML_UNSEEN,robirahman/GPU-monitoring,baf61087ac478811af548fc4827fccb12d0546c2,leave-one-evasion-family-out,same multi-GPU corpus,NVML,unseen family; window-level,,,,Committed variants span 11.1%-100% detection; prior paper summarized hardest unexpected cases as 43%-87%,Motivation and robustness limitation only,Re-score only if applying the current frozen 0.85 rule; no recollection,classifier/results/leave_one_out.csv,https://github.com/robirahman/GPU-monitoring
RHM_NVML_RUN_RULE,NeurIPS author rebuttal attachment,2026-07-28 text snapshot,fixed operating point,same prior corpus,NVML,30 s/15 s; threshold 0.75; 3-of-5,1302,760,542,731/760 training runs alerted; 5/542 false-alert runs; 0.059 alerts/GPU-hour; median alert 60 s; max 225 s,Prior run-level reference only,Do not recollect; do not compare numerically to the 0.85 SensorGuard rule without re-scoring,pasted-text.txt (author rebuttal),
RHM_PHYSICAL_BASE,robirahman/GPU-monitoring,baf61087ac478811af548fc4827fccb12d0546c2,RTX 3090 base paired corpus,RTX 3090 GPU0,GPU current + motherboard current + UltraMic; paired NVML,run-grouped CV; 30 s windows,36,26,10,physical-all window accuracy 100%,Raw synchronized source for Tajdari matched comparisons,Do not duplicate; same raw cohort is deduplicated below,sensor_logs/*.parquet; classifier/results/physical_binary_results.csv,https://github.com/robirahman/GPU-monitoring
RHM_PHYSICAL_REDTEAM,robirahman/GPU-monitoring,baf61087ac478811af548fc4827fccb12d0546c2,physical red-team rounds 1-3,RTX 3090 GPU0,GPU current + motherboard current + UltraMic,attack-held-out/adaptive development,,,,Only dominant ballast dilution initially evaded at about 50x slowdown; hardening caught fresh dilution and cufft-mimicry variants,"Attack design, camouflage-tax evidence, and development context",Do not rerun unless a matched current-paper holdout is required,docs/physical_sensor_detection_and_evasion.md,https://github.com/robirahman/GPU-monitoring
TAJ_MATCHED36,Tajdari-S/sensorguard,efd8ec1c39729a7f2cd55f86545911091ac2cb31,deduplicated matched 36-run cohort,RTX 3090,NVML; GPU current; NVML + GPU current,leave-one-workload-family-out; threshold 0.85; 3-of-5,36,26,10,"NVML 18/26 TP, current 24/26 TP, NVML+current 22/26 TP; all 0/10 FP",Headline development comparison with clear non-sealed label,No rerun,results/tables/matched-36-family-heldout-confusion.csv; results/tables/nvml-sensor-subset-ablation.csv,https://github.com/Tajdari-S/sensorguard
TAJ_EXTENDED61,Tajdari-S/sensorguard,efd8ec1c39729a7f2cd55f86545911091ac2cb31,extended paired stress cohort,RTX 3090,NVML; GPU current,leave-one-workload-label-out adaptive stress test,61,51,10,NVML 44/51 TP and 0/10 FP; current 42/51 TP and 2/10 FP,Robustness limitation; not headline,No rerun,results/tables/matched-extended-family-heldout-confusion.csv,https://github.com/Tajdari-S/sensorguard
TAJ_SYNC30,Tajdari-S/sensorguard,efd8ec1c39729a7f2cd55f86545911091ac2cb31,new synchronized development corpus,node1 RTX 3090 GPU1 + PicoScope 12789/2929 chA,NVML; 10 kS/s GPU current; fusion,leave-one-family-out; threshold 0.85; 3-of-5,30,15,15,NVML 0/15 TP and 2/15 FP; current/fusion 6/15 TP and 0/15 FP; worst-family gain 0 pp,Independent current-paper development result,No repeat of the same cells,results/current_paper_physical_20260831/TESTS_AND_RESULTS.md,https://github.com/Tajdari-S/sensorguard
TAJ_SEALED_FUSED15,Tajdari-S/sensorguard,efd8ec1c39729a7f2cd55f86545911091ac2cb31,sealed fused-update test,node1 RTX 3090 GPU1 + same current channel,NVML; GPU current; fusion,frozen model; threshold 0.85; 3-of-5,15,6,9,fused update 0/3 for every modality; AdamW 3/3 only for NVML; 0/9 matched-negative alerts,Required negative result and limitation,Do not rerun as a fresh holdout,results/current_paper_physical_20260831/TESTS_AND_RESULTS.md,https://github.com/Tajdari-S/sensorguard
TAJ_FUSED_RECOVERY15,Tajdari-S/sensorguard,efd8ec1c39729a7f2cd55f86545911091ac2cb31,fresh fused-recovery validation,node1 RTX 3090 GPU1 + same current channel,GPU current,frozen recovery candidate on 3 new variants,15,6,9,fused 3/3 detected but all 9/9 matched negatives alerted; 48 false alerts/GPU-hour,Reject the recovery candidate,No further blind threshold tuning on these runs; redesign observable,next_paper/results/fused_recovery_fresh_validation/fresh_recovery_confusion.csv,https://github.com/Tajdari-S/sensorguard
